,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Matt Kuchar,93,72.09,62,86
1,2,2,Justin Rose,62,72.0,36,50
2,3,3,Steven Bowditch,67,70.51,55,78
3,4,4,K.J. Choi,85,69.77,60,86
4,5,5,Stuart Appleby,88,67.35,66,98
5,6,6,Brandt Snedeker,79,67.11,51,76
6,7,7,Lee Williams,62,67.09,53,79
7,8,8,Kevin Chappell,80,66.27,55,83
8,9,9,Shawn Stefani,63,65.43,53,81
9,10,10,Casey Wittenberg,72,65.38,51,78
10,11,11,Jason Day,86,64.38,47,73
11,12,12,Peter Hanson,45,64.29,18,28
12,13,13,Ben Crane,62,63.86,53,83
13,14,14,Michael Thompson,66,62.86,44,70
14,15,15,Padraig Harrington,52,62.5,25,40
15,16,16,Cameron Tringale,80,62.03,49,79
16,17,17,David Toms,49,61.76,21,34
17,T18,T18,Robert Karlsson,56,61.67,37,60
18,T18,T18,David Lynn,70,61.67,37,60
19,20,20,Webb Simpson,92,61.64,45,73
20,21,21,Freddie Jacobson,63,61.54,40,65
21,22,22,Brian Gay,79,61.39,62,101
22,23,23,Tom Gillis,69,61.05,58,95
23,24,24,Bob Estes,66,60.92,53,87
24,25,25,Tiger Woods,61,60.78,31,51
25,26,26,Darron Stiles,51,60.66,37,61
26,27,27,Patrick Reed,83,60.58,63,104
27,28,28,Hunter Mahan,91,60.53,46,76
28,29,29,Andres Romero,63,60.22,56,93
29,T30,T30,Luke List,65,59.74,46,77
30,T30,T30,Cameron Percy,68,59.74,46,77
31,32,32,Jin Park,52,59.68,37,62
32,33,33,Jim Furyk,80,59.3,51,86
33,34,34,Luke Donald,60,58.93,33,56
34,35,35,John Huh,88,58.89,53,90
35,36,36,Greg Chalmers,77,58.76,57,97
36,37,37,Jordan Spieth,82,58.67,44,75
37,38,38,Brian Davis,91,58.65,78,133
38,39,39,Erik Compton,74,58.42,59,101
39,40,40,Stewart Cink,71,58.33,42,72
40,41,41,Keegan Bradley,88,58.23,46,79
41,42,42,Jason Dufner,78,57.89,33,57
42,43,43,Camilo Villegas,79,57.75,41,71
43,44,44,Tim Clark,64,57.58,38,66
44,45,45,Matt Jones,83,57.45,54,94
45,46,46,Mike Weir,60,57.3,51,89
46,47,47,Doug LaBelle II,72,57.28,59,103
47,48,48,Rickie Fowler,75,57.14,36,63
48,49,49,Matt Every,89,57.0,57,100
49,50,50,Brad Fritsch,81,56.84,54,95
50,51,51,Ian Poulter,59,56.82,25,44
51,52,52,Jonas Blixt,76,56.7,55,97
52,53,53,Steve Stricker,51,56.67,17,30
53,54,54,Charl Schwartzel,69,56.63,47,83
54,55,55,William McGirt,75,56.57,56,99
55,56,56,Charlie Wi,75,56.41,66,117
56,57,57,Vijay Singh,61,56.34,40,71
57,58,58,Jason Bohn,70,56.32,49,87
58,59,59,Martin Flores,83,56.25,54,96
59,T60,T60,Jerry Kelly,75,56.18,50,89
60,T60,T60,John Rollins,77,56.18,50,89
61,62,62,Alistair Presnell,59,56.16,41,73
62,63,63,Nicholas Thompson,99,56.0,56,100
63,64,64,Henrik Stenson,65,55.77,29,52
64,65,65,Dicky Pride,71,55.43,51,92
65,66,66,Aaron Baddeley,68,55.32,52,94
66,67,67,Tag Ridings,69,55.26,42,76
67,68,68,Morgan Hoffmann,64,54.93,39,71
68,69,69,Phil Mickelson,78,54.67,41,75
69,70,70,Brendan Steele,86,54.64,53,97
70,71,71,Colt Knost,69,54.43,43,79
71,72,72,Troy Matteson,68,54.41,37,68
72,73,73,Harris English,95,54.35,50,92
73,74,74,Brendon de Jonge,110,54.31,63,116
74,75,75,Chris Stroud,88,54.21,58,107
75,76,76,Kevin Stadler,83,54.17,39,72
76,T77,T77,David Lingmerth,68,54.05,40,74
77,T77,T77,Graeme McDowell,53,54.05,20,37
78,79,79,Roberto Castro,97,53.92,55,102
79,T80,T80,Robert Allenby,58,53.85,42,78
80,T80,T80,James Driscoll,76,53.85,56,104
81,T80,T80,Charles Howell III,87,53.85,49,91
82,83,83,George McNeill,68,53.66,44,82
83,T84,T84,Russell Henley,80,53.33,48,90
84,T84,T84,Richard Lee,81,53.33,56,105
85,T86,T86,Ryo Ishikawa,72,53.09,43,81
86,T86,T86,Johnson Wagner,64,53.09,43,81
87,88,88,Justin Leonard,86,52.94,54,102
88,89,89,Bryce Molder,82,52.89,64,121
89,90,90,Lee Westwood,70,52.83,28,53
90,91,91,Martin Laird,68,52.78,38,72
91,92,92,Bill Haas,85,52.7,39,74
92,93,93,Eric Meierdierks,48,52.63,30,57
93,94,94,D.A. Points,87,52.58,51,97
94,T95,T95,Henrik Norlander,70,52.38,44,84
95,T95,T95,Brian Stuard,78,52.38,44,84
96,T97,T97,Chris Kirk,89,52.22,47,90
97,T97,T97,Greg Owen,73,52.22,47,90
98,99,99,Jimmy Walker,84,52.17,48,92
99,100,100,Chez Reavie,72,51.96,53,102
100,101,101,Fabián Gómez,65,51.76,44,85
101,102,102,Tim Herron,45,51.56,33,64
102,103,103,Trevor Immelman,73,51.43,36,70
103,104,104,Brandt Jobe,62,51.32,39,76
104,105,105,Graham DeLaet,94,51.22,42,82
105,106,106,Charley Hoffman,84,51.09,47,92
106,107,107,Sangmoon Bae,83,51.04,49,96
107,108,108,Rory McIlroy,56,51.02,25,49
108,109,109,Vaughn Taylor,50,50.94,27,53
109,T110,T110,Marc Leishman,77,50.77,33,65
110,T110,T110,Jeff Maggert,63,50.77,33,65
111,T112,T112,Bobby Gates,49,50.75,34,67
112,T112,T112,Mark Wilson,56,50.75,34,67
113,114,114,Stephen Ames,49,50.72,35,69
114,115,115,Boo Weekley,100,50.55,46,91
115,116,116,Tommy Gainey,84,50.48,53,105
116,117,117,Daniel Summerhays,83,50.46,55,109
117,118,118,Billy Horschel,96,50.42,60,119
118,T119,T119,Justin Bolli,59,50.0,40,80
119,T119,T119,Rod Pampling,46,50.0,23,46
120,T119,T119,Adam Scott,61,50.0,22,44
121,T119,T119,Josh Teater,86,50.0,39,78
122,123,123,Jason Kokrak,78,49.45,45,91
123,124,124,Scott Stallings,79,49.41,42,85
124,125,125,Nick Watney,88,49.37,39,79
125,126,126,Aaron Watkins,46,49.15,29,59
126,127,127,Lucas Glover,65,49.06,26,53
127,128,128,D.H. Lee,65,48.78,40,82
128,129,129,Ryan Moore,72,48.57,34,70
129,130,130,Kevin Streelman,86,48.42,46,95
130,T131,T131,Ben Curtis,59,48.28,28,58
131,T131,T131,Ernie Els,63,48.28,28,58
132,T131,T131,Zach Johnson,84,48.28,28,58
133,134,134,Luke Guthrie,82,47.83,44,92
134,135,135,Scott Gardiner,61,47.78,43,90
135,136,136,Brian Harman,89,47.66,51,107
136,137,137,Chad Campbell,78,47.5,38,80
137,T138,T138,Bud Cauley,67,47.37,36,76
138,T138,T138,Sergio Garcia,65,47.37,27,57
139,140,140,Ricky Barnes,74,47.22,34,72
140,141,141,Geoff Ogilvy,57,47.14,33,70
141,142,142,Sean O'Hair,56,47.06,32,68
142,143,143,Steve LeBrun,66,46.97,31,66
143,144,144,John Merrick,79,46.34,38,82
144,T145,T145,Dustin Johnson,71,46.15,24,52
145,T145,T145,Bubba Watson,76,46.15,24,52
146,147,147,Scott Langley,79,46.05,35,76
147,148,148,Pat Perez,69,45.98,40,87
148,T149,T149,Carl Pettersson,82,45.88,39,85
149,T149,T149,Robert Streb,75,45.88,39,85
150,151,151,Rory Sabbatini,86,45.83,33,72
151,152,152,Ryan Palmer,79,45.78,38,83
152,153,153,James Hahn,78,45.68,37,81
153,154,154,Martin Kaymer,61,45.65,21,46
154,155,155,David Mathis,71,45.36,44,97
155,156,156,Jeff Overton,78,44.21,42,95
156,157,157,Ken Duke,87,44.04,48,109
157,158,158,Robert Garrigus,69,44.0,22,50
158,159,159,Ben Kohles,75,43.9,36,82
159,160,160,"Ted Potter, Jr.",65,43.84,32,73
160,161,161,Scott Piercy,78,43.68,38,87
161,162,162,Gary Woodland,94,43.56,44,101
162,163,163,David Hearn,88,43.33,39,90
163,164,164,Charlie Beljan,62,43.06,31,72
164,165,165,Seung-Yul Noh,71,42.25,30,71
165,166,166,Jim Herman,59,42.22,19,45
166,167,167,Y.E. Yang,56,42.19,27,64
167,168,168,J.J. Henry,83,41.18,35,85
168,169,169,John Senden,79,39.74,31,78
169,170,170,Derek Ernst,58,39.73,29,73
170,171,171,Justin Hicks,79,37.8,31,82
171,172,172,Michael Bradley,56,37.7,23,61
172,173,173,Kyle Stanley,71,37.68,26,69
173,174,174,Scott Brown,65,36.76,25,68
174,175,175,Nicolas Colsaerts,50,36.0,18,50
175,176,176,Bo Van Pelt,72,35.8,29,81
176,177,177,Ángel Cabrera,73,33.33,20,60
177,178,178,D.J. Trahan,48,32.56,14,43
178,179,179,Will Claxton,67,32.5,26,80
179,180,180,Andrew Svoboda,46,23.81,10,42
