,Approach_100-125_yards_RTP_Score_RANK THIS WEEK,Approach_100-125_yards_RTP_Score_RANK LAST WEEK,Approach_100-125_yards_RTP_Score_PLAYER NAME,Approach_100-125_yards_RTP_Score_ROUNDS,Approach_100-125_yards_RTP_Score_AVG RTP
0,1,1,Matt Every,85,-.299
1,T2,T2,Kevin Streelman,79,-.296
2,T2,T2,Bubba Watson,76,-.296
3,4,4,Jimmy Walker,98,-.293
4,5,5,Henrik Stenson,56,-.281
5,6,6,Hideki Matsuyama,82,-.279
6,7,7,Ben Martin,80,-.278
7,8,8,Ian Poulter,57,-.263
8,9,9,Jason Day,54,-.257
9,10,10,Charl Schwartzel,64,-.241
10,11,11,Webb Simpson,87,-.231
11,12,12,Scott Langley,95,-.230
12,13,13,Michael Thompson,74,-.228
13,14,14,Troy Matteson,62,-.225
14,15,15,David Hearn,97,-.223
15,T16,T16,Jim Furyk,84,-.219
16,T16,T16,Chris Stroud,88,-.219
17,18,18,Chad Campbell,57,-.216
18,19,19,Brendan Steele,89,-.214
19,T20,T20,Chris Kirk,105,-.212
20,T20,T20,Will MacKenzie,82,-.212
21,22,22,Y.E. Yang,79,-.211
22,23,23,Jeff Overton,80,-.210
23,24,24,Patrick Reed,92,-.209
24,25,25,Geoff Ogilvy,84,-.208
25,T26,T26,Stewart Cink,91,-.205
26,T26,T26,Tim Clark,75,-.205
27,T26,T26,Louis Oosthuizen,50,-.205
28,29,29,Brandt Snedeker,89,-.202
29,30,30,Phil Mickelson,71,-.200
30,31,31,William McGirt,96,-.195
31,T32,T32,Luke Donald,57,-.194
32,T32,T32,Tommy Gainey,73,-.194
33,T34,T34,Ryan Moore,86,-.193
34,T34,T34,Brian Stuard,91,-.193
35,36,36,Danny Lee,84,-.192
36,37,37,David Lingmerth,80,-.191
37,T38,T38,Billy Hurley III,86,-.188
38,T38,T38,Rory McIlroy,66,-.188
39,40,40,Aaron Baddeley,74,-.187
40,T41,T41,Brad Fritsch,50,-.183
41,T41,T41,Retief Goosen,94,-.183
42,T41,T41,Kevin Kisner,85,-.183
43,44,44,Keegan Bradley,89,-.182
44,T45,T45,Robert Garrigus,80,-.178
45,T45,T45,Jerry Kelly,80,-.178
46,47,47,Martin Flores,85,-.174
47,T48,T48,Paul Casey,56,-.173
48,T48,T48,Camilo Villegas,95,-.173
49,50,50,Graeme McDowell,66,-.171
50,T51,T51,Jim Herman,62,-.170
51,T51,T51,Zach Johnson,97,-.170
52,T51,T51,Bo Van Pelt,83,-.170
53,T54,T54,Adam Scott,68,-.169
54,T54,T54,Cameron Tringale,111,-.169
55,T56,T56,Woody Austin,63,-.167
56,T56,T56,Jeff Maggert,54,-.167
57,T56,T56,Jim Renner,61,-.167
58,59,59,Charles Howell III,106,-.165
59,60,60,J.B. Holmes,86,-.164
60,T61,T61,George McNeill,79,-.163
61,T61,T61,Robert Streb,75,-.163
62,T63,T63,Steven Bowditch,93,-.162
63,T63,T63,Russell Henley,92,-.162
64,T65,T65,Erik Compton,88,-.158
65,T65,T65,Brian Davis,93,-.158
66,T65,T65,Johnson Wagner,69,-.158
67,68,68,Brendon Todd,108,-.156
68,69,69,Ricky Barnes,92,-.155
69,70,70,Gary Woodland,93,-.153
70,T71,T71,Stuart Appleby,92,-.152
71,T71,T71,Jhonattan Vegas,77,-.152
72,73,73,Josh Teater,90,-.150
73,74,74,Brendon de Jonge,109,-.149
74,T75,T75,Brice Garnett,92,-.147
75,T75,T75,Hunter Mahan,88,-.147
76,T75,T75,Vijay Singh,83,-.147
77,78,78,Justin Hicks,103,-.146
78,79,79,Jonas Blixt,64,-.145
79,80,80,Daniel Summerhays,98,-.143
80,81,81,Billy Horschel,92,-.142
81,82,82,Russell Knox,92,-.141
82,83,83,Scott Brown,100,-.136
83,84,84,John Merrick,87,-.135
84,85,85,Tim Wilkinson,86,-.134
85,86,86,Rickie Fowler,91,-.133
86,87,87,John Huh,87,-.132
87,88,88,Andres Romero,81,-.131
88,89,89,Martin Laird,66,-.130
89,90,90,Richard Lee,80,-.129
90,T91,T91,Ryo Ishikawa,75,-.128
91,T91,T91,Pat Perez,84,-.128
92,T93,T93,Kevin Chappell,100,-.127
93,T93,T93,Justin Leonard,75,-.127
94,T95,T95,Greg Chalmers,85,-.126
95,T95,T95,Ken Duke,80,-.126
96,T95,T95,Harris English,95,-.126
97,98,98,Shawn Stefani,60,-.125
98,99,99,Boo Weekley,73,-.124
99,100,100,Charlie Wi,72,-.121
100,T101,T101,Charley Hoffman,93,-.120
101,T101,T101,Andrew Loupe,65,-.120
102,T101,T101,Carl Pettersson,91,-.120
103,T104,T104,Kyle Stanley,87,-.119
104,T104,T104,Tyrone Van Aswegen,79,-.119
105,106,106,Bud Cauley,56,-.118
106,T107,T107,Ben Curtis,77,-.117
107,T107,T107,Bryce Molder,77,-.117
108,T107,T107,Jordan Spieth,102,-.117
109,110,110,Ángel Cabrera,69,-.115
110,111,111,Spencer Levin,59,-.114
111,T112,T112,Jason Dufner,57,-.113
112,T112,T112,Justin Rose,70,-.113
113,T112,T112,Nick Watney,80,-.113
114,115,115,Andrew Svoboda,77,-.112
115,116,116,Mark Wilson,69,-.111
116,117,117,Heath Slocum,71,-.110
117,118,118,John Senden,99,-.109
118,119,119,Lucas Glover,68,-.108
119,120,120,Brian Harman,111,-.107
120,121,121,Chad Collins,78,-.106
121,122,122,Jamie Lovemark,64,-.105
122,T123,T123,Sergio Garcia,61,-.102
123,T123,T123,Michael Putnam,106,-.102
124,125,125,Bill Haas,107,-.101
125,126,126,Martin Kaymer,65,-.100
126,T127,T127,Roberto Castro,76,-.098
127,T127,T127,Rory Sabbatini,82,-.098
128,129,129,Graham DeLaet,80,-.097
129,130,130,Kevin Na,94,-.096
130,T131,T131,Matt Kuchar,91,-.094
131,T131,T131,John Peterson,62,-.094
132,T131,T131,Nicholas Thompson,85,-.094
133,134,134,Sean O'Hair,77,-.093
134,135,135,Gonzalo Fernandez-Castaño,83,-.092
135,T136,T136,Jason Bohn,81,-.091
136,T136,T136,Willy Wilcox,51,-.091
137,138,138,Marc Leishman,81,-.090
138,T139,T139,Sangmoon Bae,76,-.088
139,T139,T139,Chesson Hadley,84,-.088
140,T139,T139,Seung-Yul Noh,92,-.088
141,142,142,Jason Kokrak,65,-.087
142,143,143,Luke Guthrie,85,-.086
143,144,144,Matt Jones,83,-.084
144,145,145,Ernie Els,85,-.076
145,146,146,"Ted Potter, Jr.",68,-.074
146,147,147,D.A. Points,75,-.071
147,148,148,Morgan Hoffmann,103,-.070
148,149,149,D.H. Lee,54,-.063
149,150,150,Freddie Jacobson,91,-.062
150,151,151,Ben Crane,81,-.061
151,T152,T152,K.J. Choi,80,-.059
152,T152,T152,Troy Merritt,62,-.059
153,154,154,Ryan Palmer,85,-.058
154,T155,T155,Robert Allenby,83,-.057
155,T155,T155,James Driscoll,71,-.057
156,157,157,James Hahn,82,-.054
157,158,158,Brooks Koepka,56,-.053
158,159,159,Bronson La'Cassie,51,-.046
159,160,160,Brian Gay,81,-.039
160,161,161,Kevin Stadler,90,-.038
161,162,162,Charlie Beljan,76,-.037
162,163,163,Jonathan Byrd,76,-.036
163,164,164,Wes Roach,67,-.030
164,165,165,Hudson Swafford,75,-.024
165,166,166,J.J. Henry,91,-.022
166,T167,T167,Trevor Immelman,84,-.021
167,T167,T167,Lee Westwood,57,-.021
168,169,169,Scott Stallings,77,-.020
169,170,170,David Toms,64,-.012
170,171,171,John Rollins,84,-.011
171,172,172,Dustin Johnson,58,E
172,173,173,Derek Ernst,80,+.012
173,174,174,Davis Love III,74,+.019
174,175,175,Kevin Tway,64,+.050
175,176,176,Briny Baird,50,+.068
176,177,177,Mike Weir,69,+.161
